Age,Salary,Experience,Education_Level,Department,Performance_Score,Left_Company
47,44668,14,High School,IT,3.14,0
55,54527,24,Bachelor,Finance,1.57,0
55,59083,29,High School,IT,1.05,1
62,38934,13,Master,Sales,2.69,0
25,60435,6,Bachelor,Sales,2.18,1
44,66267,16,PhD,HR,2.94,0
44,54961,19,Bachelor,HR,3.31,0
51,72521,35,High School,HR,1.17,0
38,40714,8,High School,Sales,1.49,0
47,35064,37,Bachelor,IT,3.23,0
50,28655,21,PhD,IT,2.37,0
45,67952,1,PhD,HR,3.92,0
64,57852,23,PhD,Finance,3.61,1
50,49332,7,High School,IT,4.38,1
22,53359,10,Bachelor,Sales,3.77,1
36,36494,12,Master,Marketing,2.72,0
21,79349,16,High School,Marketing,3.69,0
52,51550,7,PhD,Marketing,2.1,0
34,51312,20,Bachelor,Finance,2.23,0
61,58709,17,PhD,HR,4.16,0
45,55772,29,Master,Sales,2.79,0
47,52686,17,PhD,Finance,4.19,0
46,40514,30,PhD,Sales,4.29,0
63,55657,37,Master,Sales,4.43,1
23,72584,31,Bachelor,HR,4.67,0
52,66145,10,High School,Marketing,2.72,0
58,69118,24,Bachelor,HR,2.28,0
54,43865,32,Master,Finance,3.33,1
41,38124,37,PhD,Finance,2.48,0
46,48490,7,Bachelor,Finance,3.4,0
63,50668,10,High School,HR,3.82,1
48,63130,21,Master,Sales,3.75,1
52,29690,23,Bachelor,Sales,2.5,0
50,68354,16,High School,IT,1.67,0
38,48103,11,Master,Finance,2.72,0
49,44877,31,High School,Sales,1.57,0
40,37854,14,Master,IT,4.56,0
50,30141,15,PhD,Sales,2.38,1
20,59878,21,Bachelor,Finance,1.62,0
35,50879,27,High School,Marketing,1.1,0
42,34520,19,Master,Finance,3.58,0
59,34459,32,High School,HR,3.55,0
48,45970,9,High School,Sales,2.36,0
20,70028,39,Bachelor,Sales,1.29,0
57,46884,31,PhD,HR,2.64,0
63,31962,32,High School,HR,2.24,0
41,47051,1,Master,Marketing,3.71,0
49,46727,32,Master,Sales,3.42,0
64,17637,32,PhD,Sales,2.46,1
39,49348,12,Master,Marketing,1.87,0
40,47228,29,PhD,IT,4.95,0
19,58354,32,Master,Marketing,2.82,0
44,72187,12,Bachelor,Finance,3.75,0
59,63518,25,High School,Sales,1.56,0
19,46773,21,Bachelor,HR,2.94,0
43,36721,38,High School,Finance,1.11,1
34,80880,1,High School,Sales,3.02,0
57,50710,37,High School,Marketing,4.86,0
50,50167,38,Bachelor,Finance,2.54,0
26,49710,25,High School,Sales,1.16,1
60,52377,14,Bachelor,IT,1.12,0
56,48267,33,PhD,IT,2.55,0
46,43116,39,Master,HR,1.64,0
59,43437,10,Master,Sales,1.09,0
43,49606,2,High School,IT,4.02,1
52,43478,5,Bachelor,Marketing,2.83,0
42,41445,8,Master,Sales,2.16,0
41,51277,5,Bachelor,Marketing,4.6,1
30,46940,8,Bachelor,Marketing,1.46,1
24,68047,38,High School,IT,4.82,1
53,18188,30,Master,Sales,2.26,0
62,63098,31,High School,Finance,4.55,0
37,64953,11,High School,IT,3.41,0
18,25119,7,Master,IT,4.31,0
25,45887,7,Master,Sales,4.94,0
63,45542,27,PhD,Sales,2.15,0
33,33109,19,PhD,Marketing,4.84,0
31,40666,6,Bachelor,Sales,2.56,0
29,36673,10,Master,Marketing,2.54,0
40,71027,19,PhD,IT,2.36,0
32,61228,15,Bachelor,HR,3.17,1
45,65258,3,Bachelor,Finance,1.62,0
51,58660,5,Bachelor,IT,3.21,0
19,36451,21,PhD,Sales,3.17,0
49,43705,25,Master,Finance,4.05,0
40,55872,2,High School,HR,4.33,0
39,35334,13,Bachelor,HR,2.76,0
42,58555,10,PhD,Marketing,2.21,0
39,47116,17,PhD,Finance,2.04,0
39,45502,11,High School,Marketing,1.78,0
59,58531,22,High School,IT,1.23,0
23,55331,11,PhD,Finance,2.37,1
32,45668,12,Master,IT,2.08,1
60,63911,24,High School,Marketing,4.87,0
54,37027,18,PhD,Finance,3.23,0
50,57391,35,High School,Marketing,2.39,0
25,57117,7,Master,Finance,3.32,1
61,46285,28,Bachelor,Marketing,1.56,0
61,53913,31,High School,HR,2.78,0
22,34986,17,Master,Marketing,3.5,1
56,61088,5,PhD,HR,2.96,0
21,47781,17,High School,Marketing,2.61,1
23,43727,18,High School,Finance,4.98,0
62,62588,21,PhD,Finance,4.52,0
49,41547,36,Bachelor,Finance,3.49,0
47,33098,31,PhD,Sales,3.28,1
64,31320,2,High School,IT,3.48,1
52,57272,27,PhD,Finance,1.81,0
57,34634,9,Master,HR,2.58,0
33,71057,34,PhD,Finance,1.16,0
30,25016,28,High School,Sales,2.9,1
59,70357,14,PhD,HR,3.17,0
47,52532,32,Bachelor,Sales,1.91,0
36,48839,6,PhD,HR,4.86,0
34,43460,11,Bachelor,Marketing,4.64,0
36,54789,29,Master,IT,3.89,0
45,49548,20,Bachelor,IT,3.13,0
43,63239,30,PhD,Sales,4.48,0
54,51370,23,High School,IT,1.52,1
43,51803,19,Bachelor,Sales,4.16,0
40,45636,36,Master,Sales,1.5,0
26,49316,3,Bachelor,Sales,4.18,1
29,53693,27,Bachelor,IT,2.1,0
18,29477,19,Bachelor,Sales,4.51,0
18,33821,23,Master,IT,4.78,0
64,58919,31,PhD,Sales,1.6,1
51,52050,35,Bachelor,Finance,2.85,0
49,47792,33,Bachelor,Sales,4.92,1
42,50221,35,High School,HR,2.93,0
57,54170,1,Master,Sales,4.45,0
62,43522,14,Bachelor,Marketing,3.35,0
18,40660,33,Master,Sales,2.5,1
33,52350,35,Bachelor,HR,2.14,0
56,38259,5,PhD,HR,1.81,1
22,54899,38,PhD,IT,4.05,0
39,29568,11,Bachelor,Finance,2.55,0
46,62349,2,PhD,Sales,3.05,0
20,55671,17,Bachelor,IT,2.97,1
29,53072,39,PhD,Finance,3.31,0
43,61792,20,High School,Sales,4.46,0
33,69985,14,High School,Marketing,4.92,0
54,62172,32,High School,Sales,2.63,1
39,27909,34,Master,HR,4.31,0
46,34645,25,Master,HR,4.06,0
31,42502,7,High School,Marketing,3.29,0
45,50313,35,Master,IT,4.82,0
22,56211,29,PhD,Finance,1.8,0
64,41291,22,Bachelor,Sales,1.44,1
47,52241,13,Bachelor,HR,4.42,1
63,40935,13,Bachelor,IT,2.76,0
22,42661,1,High School,Marketing,4.39,0
29,33120,36,Master,HR,4.57,0
33,38921,4,PhD,Marketing,1.25,0
43,33779,37,PhD,Sales,4.53,0
43,38289,13,High School,Finance,2.79,0
38,62643,38,PhD,HR,3.04,0
56,38607,24,PhD,HR,3.51,0
53,81588,19,PhD,Sales,4.71,0
50,55919,1,PhD,IT,1.08,0
47,52218,38,Master,Finance,2.91,0
54,39699,5,PhD,HR,3.75,0
40,58403,16,Bachelor,Finance,3.89,0
27,43092,24,High School,HR,3.77,0
22,51464,27,Master,Finance,1.54,0
53,80721,1,PhD,Marketing,2.2,0
51,48847,34,Master,HR,2.43,0
48,63791,36,PhD,Finance,4.22,0
27,41561,4,Bachelor,IT,2.12,0
36,49580,0,High School,Marketing,1.84,1
49,71249,39,PhD,Marketing,4.83,0
18,42476,11,PhD,IT,1.04,0
22,71749,35,PhD,Finance,4.99,0
62,58493,22,PhD,Sales,3.71,0
21,43250,30,High School,IT,4.31,0
33,57588,10,High School,Finance,2.18,0
41,61670,9,Bachelor,IT,1.06,0
33,57461,2,High School,IT,3.95,0
19,31157,13,PhD,HR,4.34,0
45,41274,15,Bachelor,Finance,3.96,0
49,47029,9,Bachelor,Sales,1.57,1
44,49106,28,Bachelor,HR,4.01,0
37,57448,9,PhD,IT,4.08,0
41,52132,11,Master,IT,3.63,0
29,33975,29,PhD,IT,4.06,1
52,54562,0,High School,Finance,4.38,0
50,57327,4,High School,Finance,3.45,0
